Código;Município;Coeficiente;Participação 2025;Diferença p.p.;Anos presentes
3200102;Afonso Cláudio;0.004653292;0.004623193;0.000030098;7
3200201;Alegre;0.001322230;;;3
3200300;Alfredo Chaves;0.003867927;0.004094797;-0.000226870;7
3200359;Alto Rio Novo;0.001382430;0.001720507;-0.000338077;7
3200409;Anchieta;0.020181480;0.026943319;-0.006761838;7
3200508;Apiacá;0.001205692;0.001582755;-0.000377063;7
3200607;Aracruz;0.035152302;0.044946370;-0.009794068;7
3200706;Atilio Vivacqua;0.002270367;0.002693303;-0.000422936;7
3200805;Baixo Guandu;0.004633854;0.004884231;-0.000250378;7
3200904;Barra de São Francisco;0.006159731;0.006255515;-0.000095784;7
3201001;Boa Esperança;0.002513420;0.003258192;-0.000744772;7
3201100;Bom Jesus do Norte;0.001194168;0.001705943;-0.000511775;7
3201159;Brejetuba;0.001019292;;;3
3201209;Cachoeiro de Itapemirim;0.024810308;0.024702487;0.000107820;7
3201308;Cariacica;0.018651226;;;3
3201407;Castelo;0.005890048;0.006048168;-0.000158120;7
3201506;Colatina;0.016450128;0.017660295;-0.001210167;7
3201605;Conceição da Barra;0.004594577;0.004610833;-0.000016256;7
3201704;Conceição do Castelo;0.002651421;0.002517224;0.000134197;7
3201803;Divino de São Lourenço;0.001095696;0.001211710;-0.000116013;7
3201902;Domingos Martins;0.008045878;0.008013839;0.000032038;7
3202009;Dores do Rio Preto;0.001635114;0.002274248;-0.000639134;7
3202108;Ecoporanga;0.004095438;0.003805546;0.000289892;7
3202207;Fundão;0.002578786;0.003341915;-0.000763128;7
3202256;Governador Lindenberg;0.002634109;0.003347911;-0.000713802;7
3202405;Guarapari;0.009506466;0.009884021;-0.000377555;7
3202306;Guaçuí;0.002638782;0.002891852;-0.000253071;7
3202454;Ibatiba;0.002473022;0.002464963;0.000008060;7
3202504;Ibiraçu;0.001911513;0.002453965;-0.000542452;7
3202553;Ibitirama;0.001527198;0.001878474;-0.000351277;7
3202603;Iconha;0.002338910;0.002347464;-0.000008554;7
3202652;Irupi;0.001899234;0.002147157;-0.000247922;7
3202702;Itaguaçu;0.002203831;0.002683839;-0.000480008;7
3202801;Itapemirim;0.016139801;0.021792084;-0.005652283;7
3202900;Itarana;0.002237863;0.002741072;-0.000503209;7
3203007;Iúna;0.003054367;0.003587061;-0.000532694;7
3203056;Jaguaré;0.006124701;0.007924825;-0.001800124;7
3203106;Jerônimo Monteiro;0.001313863;0.001384834;-0.000070971;7
3203130;João Neiva;0.003164346;0.003504640;-0.000340294;7
3203163;Laranja da Terra;0.002308265;0.002770488;-0.000462223;7
3203205;Linhares;0.040025031;0.037952080;0.002072951;7
3203304;Mantenópolis;0.001629962;0.002139855;-0.000509893;7
3203320;Marataízes;0.004329326;0.004492612;-0.000163286;7
3203346;Marechal Floriano;0.004078670;0.003945551;0.000133118;7
3203353;Marilândia;0.002664714;0.003335263;-0.000670548;7
3203403;Mimoso do Sul;0.003297010;0.003444577;-0.000147567;7
3203502;Montanha;0.003446888;0.003831601;-0.000384713;7
3203601;Mucurici;0.001729255;0.001999111;-0.000269856;7
3203700;Muniz Freire;0.003217052;0.003400563;-0.000183511;7
3203809;Muqui;0.001824874;0.002263416;-0.000438542;7
3203908;Nova Venécia;0.008142355;0.009142974;-0.001000619;7
3204005;Pancas;0.002820713;0.002998205;-0.000177493;7
3204054;Pedro Canário;0.002283196;0.002552510;-0.000269314;7
3204104;Pinheiros;0.004661411;0.005513412;-0.000852001;7
3204203;Piúma;0.002115307;0.003057653;-0.000942346;7
3204252;Ponto Belo;0.001347258;0.001723403;-0.000376145;7
3204302;Presidente Kennedy;0.003681338;0.006004946;-0.002323608;7
3204351;Rio Bananal;0.005051160;0.006140121;-0.001088961;7
3204401;Rio Novo do Sul;0.001873856;0.002186642;-0.000312786;7
3204500;Santa Leopoldina;0.003135718;0.003642131;-0.000506413;7
3204559;Santa Maria de Jetibá;0.013418330;0.014652471;-0.001234141;7
3204609;Santa Teresa;0.004395174;0.005119801;-0.000724626;7
3205002;Serra;0.117784817;0.133181799;-0.015396982;7
3205010;Sooretama;0.004481357;0.005295589;-0.000814231;7
3204658;São Domingos do Norte;0.002598186;0.002789599;-0.000191413;7
3204708;São Gabriel da Palha;0.004736380;0.005141213;-0.000404833;7
3204807;São José do Calçado;0.001652035;0.001938229;-0.000286194;7
3204906;São Mateus;0.005910246;;;3
3204955;São Roque do Canaã;0.001975475;0.002133937;-0.000158463;7
3205036;Vargem Alta;0.003142509;0.003351614;-0.000209105;7
3205069;Venda Nova do Imigrante;0.004787577;0.005305355;-0.000517777;7
3205101;Viana;0.018382324;0.024680455;-0.006298131;7
3205150;Vila Pavão;0.001927453;0.002403121;-0.000475669;7
3205176;Vila Valério;0.003829229;0.004957391;-0.001128162;7
3205200;Vila Velha;0.064061415;0.078590330;-0.014528916;7
3205309;Vitória;0.161690432;0.162335076;-0.000644644;7
3200169;Água Doce do Norte;0.000673396;;;3
3200136;Águia Branca;0.002616325;0.003456608;-0.000840283;7
TOTAL;;0.756948828;0.815798256;-0.086425817;
